sample_index,true_dust_mg_m3,common_gain,dual_color_raw_mg_m3,dual_color_filtered_mg_m3,single_color_raw_mg_m3,single_color_filtered_mg_m3
106,69.06566723360324,0.9220482968361623,70.18466486243639,70.38329115833423,84.00695358577407,83.01293024273295
107,66.89016622049647,0.9301031016400466,71.9362640231599,67.05073672102344,78.45791947465301,79.33359783183585
108,64.58090190281155,0.9392875808951286,63.801744140277314,65.84280780377186,76.10057582344535,75.6028543303161
109,62.208400558607856,0.9493153864098817,60.0032167419324,62.93502080853666,71.80942099617636,71.24767192164266
110,59.8424869172778,0.9598804614375429,63.28814925105334,60.24037489762545,67.63940177153175,67.20777048889747
111,57.54959387597733,0.9706710540408561,55.64572988626037,58.376678663327525,62.231041542406864,63.146336121347346
112,55.39023032704228,0.9813837908272485,58.46303446860384,56.84808223257867,58.25841231092699,59.32857702127232
113,53.41670960722847,0.9917370813050796,54.48326296878767,54.25344961841349,55.79340398569475,55.67812204845825
114,51.67123029818213,1.0014831615055457,52.36023458818811,52.02701552318488,52.720625495801194,52.44660715814541
115,50.184386578517234,1.0104181608483858,50.314986180227436,50.81181050235571,49.38712690746146,49.40052335585692
116,48.97416764671551,1.0183896844205085,44.51355941011729,48.50383140608926,46.073467090842655,46.60750632677083
117,48.04548562522472,1.0253015380352124,52.38700936445803,47.653020970429885,43.02799329948451,44.2749448206702
118,47.39024964340067,1.0311153783439608,42.94336748745541,47.489417845970394,41.82831884026433,42.48340376449596
119,46.98798136971777,1.0358492365224974,48.10618240989126,48.539091009200476,41.05781796529806,41.17597213482139
120,46.806945040537244,1.039573032680835,49.49697055792996,46.654646232331665,40.429421626590255,40.10908402689073
121,46.80574392384458,1.0424013600606687,49.76192522626772,47.774138809154095,39.53630894246981,39.65923781470062
122,46.935316026218935,1.04448396455861,42.96478548011395,47.61334253882262,37.69355275983118,38.86179128959894
123,47.14124548328546,1.0459944682603222,48.540830371567594,48.09975675821387,39.57908777931378,38.83515968619025
124,47.36629313827423,1.0471179788619884,47.30220105823389,47.22130795033081,37.07058533978968,38.57871218161296
125,47.55304083972014,1.048038285083168,51.92904165488623,47.523402295961056,40.2962636095468,38.975186395233564
126,47.64653934517565,1.048925358319413,45.36968118685239,47.287066179540496,38.254071419583354,38.630258158558846
127,47.59684959312228,1.0499238617810873,44.47525720826521,47.99774384567524,39.675923827934206,38.824057440206836
128,47.36137150503248,1.0511433112674495,47.35914978946475,47.63469478459407,37.85444659594019,38.00886710727272
129,46.9068632234021,1.052650439639911,50.85558938890761,47.41996388405779,38.03958174802963,37.37582277989573
130,46.211066421300025,1.0544641949820408,50.11379634948039,47.797286605952934,36.220311944876215,36.228550611642405
131,45.26386951305521,1.0565536569822485,44.29602668417098,45.5723380480072,35.08884978269837,35.14195470482666
132,44.06795959073009,1.0588389951262445,46.36187081774092,42.93527632883934,33.93956298666761,33.638504905481064
133,42.63893492887957,1.0611954245555817,36.23440699973608,40.2367559567334,32.421467061861456,31.94382528127686
134,41.00487207975995,1.0634599500179551,37.670280793068336,39.04181648487399,30.522332751301647,30.034137123569785
135,39.20536401401207,1.0654405341634283,36.621194488950685,36.086331513263,27.74691382385523,27.791480463771812
136,37.29006752884711,1.0669271918807546,38.32132932487389,36.43052353707525,25.54040899416298,25.57863622924459
137,35.316818355087285,1.0677044047146123,31.584445959685972,36.57123431707576,22.726279687677753,23.463801685012573
138,33.349390217947644,1.0675641745019337,37.955367118797376,34.75509827128861,21.357245889225347,21.78838260302233
139,31.454988813725397,1.0663189972912657,38.373834693070904,31.926209263645767,19.948160030141562,20.2529560828382
140,29.701582652662495,1.0638140394541173,27.54051426001488,30.786954659734697,19.369818413904017,19.106894054130755
