wavelength_nm,blue_pilot_normalized_power,green_data_normalized_power,red_pilot_normalized_power
605.0,5.171635008875304e-47,0.005766787076866315,8.970547438205574e-05
606.0,1.3015407300177447e-47,0.005021430214689054,0.00012550217610547687
607.0,3.2466425490437835e-48,0.0043644028830946095,0.0001745049469353446
608.0,8.027087642222932e-49,0.0037863967975132794,0.00024115063378804674
609.0,1.9671086565228214e-49,0.003278923632587337,0.0003312022283807793
610.0,4.777993013886991e-50,0.002834264435543577,0.0004520872618590292
611.0,1.1502956761439345e-50,0.002445419214374466,0.0006133035358219275
612.0,2.7448605174601275e-51,0.0021060571928459802,0.000826899719104031
613.0,6.491990704345924e-52,0.0018104681501346345,0.0011080373453552861
614.0,1.521886674384006e-52,0.0015535151930464361,0.0014756390166229272
615.0,3.5361734208103047e-53,0.0013305892437605073,0.0019531250000000017
616.0,8.143884631343447e-54,0.0011375654661972825,0.002569236754285656
617.0,1.858987570148039e-54,0.0009707617996289079,0.003358941121334418
618.0,4.205989413507515e-55,0.0008268997191040295,0.004364402883094613
619.0,9.432062732505497e-56,0.0007030672986230848,0.005636006101700102
620.0,2.096486170840593e-56,0.0005966846146591787,0.007233396189744464
621.0,4.61874663627987e-57,0.0005054714943856024,0.00922650516741822
622.0,1.0085631424085868e-57,0.0004274175845976584,0.011696512341024772
623.0,2.182874977546324e-58,0.00036075469351167346,0.014736682108812281
624.0,4.6827551285704e-59,0.00030393133806223404,0.018453010334836414
625.0,9.95682444457815e-60,0.0002555894136521303,0.022964601441806242
626.0,2.098394153683405e-60,0.00021454289117775666,0.02840369089947164
627.0,4.3832889575723176e-61,0.00017975843719175583,0.03491522306475687
628.0,9.075278287032582e-62,0.00015033784691349716,0.042655893356044
629.0,1.8623727872200144e-62,0.00012550217610547687,0.05179256750220931
630.0,3.788088346246515e-63,0.00010457745626314966,0.0625
631.0,7.636957911362078e-64,8.698187779874485e-05,0.07495778967400175
632.0,1.5260456006191685e-64,7.221432763936927e-05,0.08934653283089655
633.0,3.0224661196735114e-65,5.984417063250725e-05,0.1058431640453159
634.0,5.933380329892517e-66,4.950216810875017e-05,0.12461551077626158
635.0,1.1544888683002723e-66,4.0872431668187006e-05,0.14581612994701462
636.0,2.2265073239714014e-67,3.3685315534246375e-05,0.169575540930959
637.0,4.256036290007569e-68,2.7711156482177482e-05,0.19599501811606668
638.0,8.063680890542233e-69,2.2754776247571256e-05,0.22513915489753988
639.0,1.5142868789579956e-69,1.8650667324286297e-05,0.2570284566640167
640.0,2.8185763386236487e-70,1.5258789062500007e-05,0.2916322598940292
641.0,5.199939136138336e-71,1.2460906887098442e-05,0.3288623045485639
642.0,9.508533370381051e-72,1.0157413202283198e-05,0.3685673043227753
643.0,1.7233584807133395e-72,8.264574073753111e-06,0.4105288611501579
644.0,3.09588295016683e-73,6.712151042534139e-06,0.4544590543915458
645.0,5.5123940492146234e-74,5.44135239399328e-06,0.5
646.0,9.728430800673236e-75,4.403072861728132e-06,0.5467256203072339
647.0,1.7017358533457865e-75,3.556385077700679e-06,0.5941457918240558
648.0,2.950450412339782e-76,2.8672500834404533e-06,0.6417129487814521
649.0,5.070272569869139e-77,2.307417894763757e-06,0.688831117541916
650.0,8.636168555094496e-78,1.8534924715412367e-06,0.7348672461377994
651.0,1.4580006887798508e-78,1.4861384957513797e-06,0.7791645796604999
652.0,2.4397266171940926e-79,1.1894101194569452e-06,0.8210577223003156
653.0,4.046424258011832e-80,9.501843256049402e-07,0.8598889270616107
654.0,6.651942444603204e-81,7.576837662494208e-07,0.8950250709279725
655.0,1.0838579468780916e-81,6.030759233098837e-07,0.9258747122872905
656.0,1.7504232194174183e-82,4.791371950014118e-07,0.9519045934537708
657.0,2.8019512898590863e-83,3.799720652204492e-07,0.9726549474122855
658.0,4.445543995329671e-84,3.007788816536483e-07,0.9877529959958377
659.0,6.990947813181172e-85,2.376549687606911e-07,0.9969240862100921
660.0,1.0896675647495673e-85,1.874348507969361e-07,1.0
661.0,1.683444501524604e-86,1.4755627345717665e-07,0.9969240862100921
662.0,2.577807003226671e-87,1.1594950525907111e-07,0.9877529959958377
663.0,3.912450095344653e-88,9.094608507151472e-08,0.9726549474122855
664.0,5.8856446655486025e-89,7.120377274695757e-08,0.9519045934537708
665.0,8.775787181394761e-90,5.564496705460256e-08,0.9258747122872905
666.0,1.2969551043685685e-90,4.340628937921804e-08,0.8950250709279725
667.0,1.899811965938901e-91,3.3797402265522386e-08,0.8598889270616107
668.0,2.758310234318701e-92,2.6267447194533425e-08,0.8210577223003156
